R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_PASS;B_PASS;R_REV;B_REV;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Sam Alvey;Ramazan Emeev;0;0;29 of 70;38 of 71;41%;53%;56 of 99;51 of 84;0 of 0;1 of 9;0%;11%;0;0;0;0;0;0;12 of 45;28 of 60;7 of 8;5 of 6;10 of 17;5 of 5;14 of 52;22 of 49;14 of 17;16 of 22;1 of 1;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Lukasz Bosacki;October 21, 2017;Gdansk, Poland;Middleweight Bout;Ramazan Emeev
Artem Lobov;Andre Fili;0;1;55 of 116;55 of 145;47%;37%;77 of 140;76 of 166;0 of 2;5 of 6;0%;83%;0;0;0;3;0;0;17 of 68;32 of 118;14 of 24;5 of 9;24 of 24;18 of 18;54 of 114;49 of 134;1 of 2;0 of 2;0 of 0;6 of 9;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;October 21, 2017;Gdansk, Poland;Featherweight Bout;Andre Fili
Salim Touahri;Warlley Alves;0;0;35 of 74;38 of 95;47%;40%;49 of 88;55 of 113;0 of 0;2 of 7;0%;28%;0;0;0;0;0;0;12 of 39;15 of 54;21 of 33;9 of 19;2 of 2;14 of 22;20 of 59;28 of 83;15 of 15;9 of 10;0 of 0;1 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Tomasz Bronder;October 21, 2017;Gdansk, Poland;Welterweight Bout;Warlley Alves
Lina Lansberg;Aspen Ladd;0;0;41 of 64;26 of 60;64%;43%;50 of 73;45 of 84;0 of 0;1 of 1;0%;100%;0;0;0;2;0;0;7 of 25;19 of 50;25 of 29;7 of 10;9 of 10;0 of 0;7 of 23;6 of 24;34 of 41;8 of 12;0 of 0;12 of 24;KO/TKO;2;2:33;3 Rnd (5-5-5);Lukasz Bosacki;October 21, 2017;Gdansk, Poland;Women's Bantamweight Bout;Aspen Ladd
Felipe Arantes;Josh Emmett;0;4;43 of 134;67 of 211;32%;31%;44 of 136;78 of 231;0 of 1;1 of 2;0%;50%;0;0;0;1;0;0;32 of 119;43 of 182;5 of 9;14 of 19;6 of 6;10 of 10;43 of 133;45 of 163;0 of 1;0 of 0;0 of 0;22 of 48;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Tomasz Bronder;October 21, 2017;Gdansk, Poland;Featherweight Bout;Josh Emmett
Tony Ferguson;Kevin Lee;0;0;54 of 103;55 of 119;52%;46%;57 of 106;71 of 137;0 of 0;3 of 6;0%;50%;2;0;0;2;0;0;40 of 81;41 of 101;6 of 13;14 of 18;8 of 9;0 of 0;40 of 85;35 of 90;1 of 1;0 of 1;13 of 17;20 of 28;Submission;3;4:02;5 Rnd (5-5-5-5-5);Herb Dean;October 07, 2017;Las Vegas, Nevada, USA;UFC Interim Lightweight Title Bout;Tony Ferguson
Demetrious Johnson;Ray Borg;0;0;64 of 81;13 of 29;79%;44%;172 of 212;22 of 39;8 of 8;3 of 10;100%;30%;2;0;19;1;0;0;24 of 34;8 of 21;34 of 37;4 of 6;6 of 10;1 of 2;16 of 28;7 of 21;10 of 11;5 of 7;38 of 42;1 of 1;Submission;5;3:15;5 Rnd (5-5-5-5-5);Dan Miragliotta;October 07, 2017;Las Vegas, Nevada, USA;UFC Flyweight Title Bout;Demetrious Johnson
Fabricio Werdum;Walt Harris;0;0;0 of 1;0 of 0;0%;0%;0 of 1;0 of 0;1 of 1;0 of 0;100%;0%;1;0;2;0;0;0;0 of 1;0 of 0;0 of 0;0 of 0;0 of 0;0 of 0;0 of 1;0 of 0;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;1:05;3 Rnd (5-5-5);Herb Dean;October 07, 2017;Las Vegas, Nevada, USA;Heavyweight Bout;Fabricio Werdum
Mara Romero Borella;Kalindra Faria;0;0;3 of 5;0 of 4;60%;0%;16 of 18;0 of 4;1 of 1;0 of 0;100%;0%;1;0;3;0;0;0;2 of 4;0 of 3;0 of 0;0 of 0;1 of 1;0 of 1;1 of 3;0 of 4;0 of 0;0 of 0;2 of 2;0 of 0;Submission;1;2:54;3 Rnd (5-5-5);Jason Herzog;October 07, 2017;Las Vegas, Nevada, USA;Women's Flyweight Bout;Mara Romero Borella
Beneil Dariush;Evan Dunham;1;0;81 of 157;36 of 115;51%;31%;92 of 168;66 of 149;0 of 0;1 of 7;0%;14%;0;0;2;0;0;0;60 of 134;32 of 109;8 of 9;4 of 6;13 of 14;0 of 0;48 of 111;32 of 110;10 of 15;4 of 5;23 of 31;0 of 0;Decision - Majority;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;October 07, 2017;Las Vegas, Nevada, USA;Lightweight Bout;
Tom Duquesnoy;Cody Stamann;0;0;33 of 98;66 of 168;33%;39%;76 of 145;81 of 185;1 of 1;4 of 5;100%;80%;0;0;1;2;0;0;22 of 81;33 of 118;8 of 13;19 of 28;3 of 4;14 of 22;31 of 94;53 of 150;2 of 4;8 of 13;0 of 0;5 of 5;Decision - Split;3;5:00;3 Rnd (5-5-5);Chris Tognoni;October 07, 2017;Las Vegas, Nevada, USA;Bantamweight Bout;Cody Stamann
Lando Vannata;Bobby Green;1;0;104 of 232;93 of 232;44%;40%;111 of 239;104 of 246;4 of 5;1 of 3;80%;33%;1;0;1;0;0;0;67 of 180;66 of 195;19 of 32;15 of 22;18 of 20;12 of 15;89 of 206;74 of 210;6 of 9;19 of 22;9 of 17;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;October 07, 2017;Las Vegas, Nevada, USA;Lightweight Bout;
Pearl Gonzalez;Poliana Botelho;0;0;27 of 58;67 of 105;46%;63%;89 of 124;157 of 212;0 of 15;1 of 1;0%;100%;0;0;0;0;0;0;4 of 27;44 of 75;5 of 6;19 of 25;18 of 25;4 of 5;20 of 50;15 of 43;7 of 8;52 of 62;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;October 07, 2017;Las Vegas, Nevada, USA;Women's Strawweight Bout;Poliana Botelho
Matt Schnell;Marco Beltran;0;0;38 of 140;34 of 109;27%;31%;38 of 140;45 of 120;0 of 2;1 of 1;0%;100%;1;0;0;0;0;0;24 of 113;14 of 80;2 of 9;7 of 10;12 of 18;13 of 19;35 of 132;33 of 108;3 of 8;1 of 1;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;October 07, 2017;Las Vegas, Nevada, USA;Flyweight Bout;Matt Schnell
John Moraga;Magomed Bibulatov;1;0;8 of 14;5 of 10;57%;50%;8 of 14;5 of 10;0 of 1;0 of 0;0%;0%;0;0;0;0;0;0;3 of 8;2 of 6;1 of 2;2 of 3;4 of 4;1 of 1;7 of 13;4 of 9;0 of 0;0 of 0;1 of 1;1 of 1;KO/TKO;1;1:38;3 Rnd (5-5-5);Jason Herzog;October 07, 2017;Las Vegas, Nevada, USA;Flyweight Bout;John Moraga
Thales Leites;Brad Tavares;0;1;46 of 132;70 of 136;34%;51%;50 of 137;80 of 146;0 of 7;0 of 0;0%;0%;0;0;0;0;0;0;31 of 112;43 of 107;1 of 5;4 of 6;14 of 15;23 of 23;46 of 128;60 of 123;0 of 3;5 of 6;0 of 1;5 of 7;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;October 07, 2017;Las Vegas, Nevada, USA;Middleweight Bout;Brad Tavares
Ovince Saint Preux;Yushin Okami;0;0;0 of 0;0 of 0;0%;0%;3 of 3;0 of 0;0 of 0;0 of 1;0%;0%;1;1;3;0;0;0;0 of 0;0 of 0;0 of 0;0 of 0;0 of 0;0 of 0;0 of 0;0 of 0;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;1:50;5 Rnd (5-5-5-5-5);Leon Roberts;September 22, 2017;Saitama, Saitama, Japan;Light Heavyweight Bout;Ovince Saint Preux
Claudia Gadelha;Jessica Andrade;0;0;42 of 91;141 of 241;46%;58%;47 of 96;242 of 355;0 of 7;4 of 7;0%;57%;2;0;0;5;0;0;41 of 87;83 of 175;1 of 4;50 of 58;0 of 0;8 of 8;30 of 71;45 of 107;9 of 15;18 of 25;3 of 5;78 of 109;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John Sharp;September 22, 2017;Saitama, Saitama, Japan;Women's Strawweight Bout;Jessica Andrade
Takanori Gomi;Dong Hyun Ma;0;1;2 of 3;13 of 20;66%;65%;2 of 3;13 of 20;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;1 of 2;8 of 15;1 of 1;2 of 2;0 of 0;3 of 3;2 of 3;8 of 9;0 of 0;0 of 0;0 of 0;5 of 11;KO/TKO;1;1:30;3 Rnd (5-5-5);Steve Perceval;September 22, 2017;Saitama, Saitama, Japan;Lightweight Bout;Dong Hyun Ma
Gokhan Saki;Henrique da Silva;2;0;40 of 66;20 of 45;60%;44%;40 of 66;21 of 46;0 of 0;0 of 1;0%;0%;0;0;0;0;0;0;35 of 60;16 of 40;2 of 3;4 of 5;3 of 3;0 of 0;39 of 65;12 of 37;1 of 1;8 of 8;0 of 0;0 of 0;KO/TKO;1;4:45;3 Rnd (5-5-5);Greg Kleynjans;September 22, 2017;Saitama, Saitama, Japan;Light Heavyweight Bout;Gokhan Saki
Teruto Ishihara;Rolando Dy;1;0;50 of 98;48 of 85;51%;56%;77 of 127;52 of 89;2 of 6;0 of 0;33%;0%;0;0;2;0;0;0;32 of 77;30 of 61;6 of 8;15 of 21;12 of 13;3 of 3;25 of 59;33 of 68;2 of 2;13 of 13;23 of 37;2 of 4;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John Sharp;September 22, 2017;Saitama, Saitama, Japan;Featherweight Bout;Teruto Ishihara
Jussier Formiga;Ulka Sasaki;0;0;9 of 22;16 of 32;40%;50%;12 of 27;36 of 54;1 of 1;0 of 0;100%;0%;2;0;4;0;0;0;6 of 18;6 of 16;1 of 1;9 of 13;2 of 3;1 of 3;9 of 22;14 of 30;0 of 0;2 of 2;0 of 0;0 of 0;Submission;1;4:30;3 Rnd (5-5-5);Leon Roberts;September 22, 2017;Saitama, Saitama, Japan;Flyweight Bout;Jussier Formiga
Keita Nakamura;Alex Morono;0;0;27 of 86;38 of 123;31%;30%;29 of 88;39 of 124;2 of 2;0 of 0;100%;0%;0;0;2;0;0;0;11 of 60;32 of 113;14 of 22;3 of 6;2 of 4;3 of 4;27 of 85;37 of 122;0 of 1;1 of 1;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Greg Kleynjans;September 22, 2017;Saitama, Saitama, Japan;Welterweight Bout;Keita Nakamura
Syuri Kondo;Chanmi Jeon;0;0;135 of 284;95 of 340;47%;27%;137 of 286;99 of 344;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;100 of 244;73 of 299;26 of 29;12 of 27;9 of 11;10 of 14;123 of 268;92 of 329;12 of 16;3 of 11;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Steve Perceval;September 22, 2017;Saitama, Saitama, Japan;Women's Strawweight Bout;Syuri Kondo
Shinsho Anzai;Luke Jumeau;0;0;51 of 95;49 of 95;53%;51%;97 of 152;53 of 99;1 of 12;0 of 0;8%;0%;0;0;1;0;0;0;36 of 68;29 of 70;13 of 20;7 of 12;2 of 7;13 of 13;22 of 56;19 of 59;28 of 35;30 of 36;1 of 4;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John Sharp;September 22, 2017;Saitama, Saitama, Japan;Welterweight Bout;Shinsho Anzai
Daichi Abe;Hyun Gyu Lim;1;0;63 of 183;43 of 133;34%;32%;65 of 185;43 of 133;1 of 1;0 of 0;100%;0%;0;0;1;0;0;0;35 of 137;26 of 108;4 of 7;4 of 6;24 of 39;13 of 19;54 of 172;43 of 133;3 of 5;0 of 0;6 of 6;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Greg Kleynjans;September 22, 2017;Saitama, Saitama, Japan;Welterweight Bout;Daichi Abe
Luke Rockhold;David Branch;0;0;58 of 85;25 of 56;68%;44%;68 of 97;51 of 82;2 of 5;1 of 2;40%;50%;0;0;2;0;0;0;40 of 61;13 of 42;8 of 13;10 of 12;10 of 11;2 of 2;21 of 32;17 of 46;3 of 7;8 of 10;34 of 46;0 of 0;KO/TKO;2;4:05;5 Rnd (5-5-5-5-5);Dan Miragliotta;September 16, 2017;Pittsburgh, Pennsylvania, USA;Middleweight Bout;Luke Rockhold
Mike Perry;Alex Reyes;1;0;11 of 18;6 of 13;61%;46%;11 of 18;6 of 13;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;10 of 17;1 of 7;0 of 0;4 of 5;1 of 1;1 of 1;4 of 11;3 of 10;6 of 6;3 of 3;1 of 1;0 of 0;KO/TKO;1;1:19;3 Rnd (5-5-5);Keith Peterson;September 16, 2017;Pittsburgh, Pennsylvania, USA;Welterweight Bout;Mike Perry
Hector Lombard;Anthony Smith;0;1;65 of 134;35 of 115;48%;30%;68 of 137;38 of 118;1 of 2;0 of 1;50%;0%;0;0;0;0;0;0;26 of 90;27 of 102;7 of 8;6 of 10;32 of 36;2 of 3;52 of 108;27 of 101;10 of 20;6 of 9;3 of 6;2 of 5;KO/TKO;3;2:33;3 Rnd (5-5-5);Dan Miragliotta;September 16, 2017;Pittsburgh, Pennsylvania, USA;Middleweight Bout;Anthony Smith
Gregor Gillespie;Jason Gonzalez;1;0;20 of 56;22 of 43;35%;51%;34 of 73;27 of 50;4 of 6;0 of 0;66%;0%;1;0;6;0;0;0;19 of 53;17 of 36;1 of 3;5 of 7;0 of 0;0 of 0;12 of 34;16 of 36;1 of 6;5 of 5;7 of 16;1 of 2;Submission;2;2:11;3 Rnd (5-5-5);Rob Hinds;September 16, 2017;Pittsburgh, Pennsylvania, USA;Lightweight Bout;Gregor Gillespie
Kamaru Usman;Sergio Moraes;1;0;16 of 48;13 of 27;33%;48%;16 of 48;13 of 27;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;8 of 35;10 of 23;4 of 6;3 of 3;4 of 7;0 of 1;15 of 46;13 of 27;0 of 0;0 of 0;1 of 2;0 of 0;KO/TKO;1;2:48;3 Rnd (5-5-5);Dan Miragliotta;September 16, 2017;Pittsburgh, Pennsylvania, USA;Welterweight Bout;Kamaru Usman
Justin Ledet;Zu Anyanwu;0;0;36 of 126;37 of 84;28%;44%;36 of 126;37 of 84;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;35 of 124;28 of 60;1 of 2;9 of 24;0 of 0;0 of 0;36 of 126;36 of 82;0 of 0;1 of 2;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Keith Peterson;September 16, 2017;Pittsburgh, Pennsylvania, USA;Heavyweight Bout;Justin Ledet
Anthony Rocco Martin;Olivier Aubin-Mercier;0;0;15 of 41;20 of 46;36%;43%;56 of 96;47 of 78;0 of 0;4 of 7;0%;57%;1;0;2;6;1;0;13 of 37;10 of 33;1 of 2;3 of 5;1 of 2;7 of 8;9 of 35;10 of 33;2 of 2;3 of 3;4 of 4;7 of 10;Decision - Split;3;5:00;3 Rnd (5-5-5);Rob Hinds;September 16, 2017;Pittsburgh, Pennsylvania, USA;Lightweight Bout;Olivier Aubin-Mercier
Anthony Hamilton;Daniel Spitz;0;0;0 of 1;5 of 6;0%;83%;0 of 1;5 of 6;0 of 0;1 of 1;0%;100%;0;0;0;0;0;0;0 of 1;5 of 5;0 of 0;0 of 1;0 of 0;0 of 0;0 of 1;1 of 2;0 of 0;0 of 0;0 of 0;4 of 4;KO/TKO;1;0:24;3 Rnd (5-5-5);Dan Miragliotta;September 16, 2017;Pittsburgh, Pennsylvania, USA;Heavyweight Bout;Daniel Spitz
Krzysztof Jotko;Uriah Hall;1;1;44 of 90;26 of 44;48%;59%;60 of 108;26 of 44;1 of 2;0 of 0;50%;0%;1;0;3;0;0;0;40 of 85;15 of 32;3 of 4;6 of 7;1 of 1;5 of 5;15 of 42;19 of 33;15 of 27;0 of 0;14 of 21;7 of 11;KO/TKO;2;2:25;3 Rnd (5-5-5);Rob Hinds;September 16, 2017;Pittsburgh, Pennsylvania, USA;Middleweight Bout;Uriah Hall
Jason Saggo;Gilbert Burns;0;1;35 of 92;42 of 95;38%;44%;39 of 99;50 of 104;1 of 2;2 of 3;50%;66%;0;0;0;0;0;0;11 of 60;27 of 77;9 of 14;8 of 10;15 of 18;7 of 8;30 of 84;31 of 78;2 of 3;6 of 10;3 of 5;5 of 7;KO/TKO;2;4:55;3 Rnd (5-5-5);Keith Peterson;September 16, 2017;Pittsburgh, Pennsylvania, USA;Lightweight Bout;Gilbert Burns
Amanda Nunes;Valentina Shevchenko;0;0;86 of 176;72 of 194;48%;37%;90 of 180;85 of 209;2 of 8;0 of 1;25%;0%;0;0;2;0;0;0;16 of 65;30 of 138;14 of 22;9 of 13;56 of 89;33 of 43;85 of 173;65 of 183;1 of 2;3 of 6;0 of 1;4 of 5;Decision - Split;5;5:00;5 Rnd (5-5-5-5-5);John McCarthy;September 09, 2017;Edmonton, Alberta, Canada;UFC Women's Bantamweight Title Bout;Amanda Nunes
Neil Magny;Rafael Dos Anjos;0;0;1 of 5;13 of 16;20%;81%;5 of 9;17 of 21;0 of 0;0 of 0;0%;0%;0;1;0;3;0;0;0 of 3;11 of 14;1 of 1;1 of 1;0 of 1;1 of 1;1 of 5;1 of 1;0 of 0;0 of 0;0 of 0;12 of 15;Submission;1;3:43;3 Rnd (5-5-5);Yves Lavigne;September 09, 2017;Edmonton, Alberta, Canada;Welterweight Bout;Rafael Dos Anjos
Henry Cejudo;Wilson Reis;1;0;34 of 58;5 of 25;58%;20%;39 of 64;5 of 25;2 of 2;0 of 1;100%;0%;0;0;0;0;0;0;24 of 47;4 of 24;7 of 8;0 of 0;3 of 3;1 of 1;24 of 41;5 of 25;2 of 3;0 of 0;8 of 14;0 of 0;KO/TKO;2;0:25;3 Rnd (5-5-5);Jerin Valel;September 09, 2017;Edmonton, Alberta, Canada;Flyweight Bout;Henry Cejudo
Ilir Latifi;Tyson Pedro;0;0;44 of 79;31 of 54;55%;57%;59 of 94;44 of 68;4 of 5;0 of 0;80%;0%;0;0;4;0;0;0;38 of 73;12 of 25;5 of 5;8 of 12;1 of 1;11 of 17;13 of 38;21 of 43;4 of 6;8 of 9;27 of 35;2 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;September 09, 2017;Edmonton, Alberta, Canada;Light Heavyweight Bout;Ilir Latifi
Jeremy Stephens;Gilbert Melendez;5;0;96 of 250;29 of 129;38%;22%;101 of 255;30 of 130;0 of 0;0 of 0;0%;0%;0;0;1;0;0;0;53 of 197;27 of 122;11 of 18;1 of 4;32 of 35;1 of 3;79 of 229;27 of 124;7 of 10;2 of 2;10 of 11;0 of 3;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jerin Valel;September 09, 2017;Edmonton, Alberta, Canada;Featherweight Bout;Jeremy Stephens
Sara McMann;Ketlen Vieira;0;0;29 of 58;17 of 21;50%;80%;36 of 67;35 of 45;1 of 5;1 of 1;20%;100%;0;2;2;1;0;0;25 of 52;16 of 20;2 of 3;1 of 1;2 of 3;0 of 0;1 of 9;0 of 4;9 of 11;14 of 14;19 of 38;3 of 3;Submission;2;4:16;3 Rnd (5-5-5);Yves Lavigne;September 09, 2017;Edmonton, Alberta, Canada;Women's Bantamweight Bout;Ketlen Vieira
Sarah Moras;Ashlee Evans-Smith;0;0;3 of 6;3 of 9;50%;33%;5 of 9;5 of 11;0 of 1;0 of 0;0%;0%;1;0;0;1;0;0;2 of 5;1 of 5;0 of 0;2 of 4;1 of 1;0 of 0;0 of 1;0 of 4;0 of 1;2 of 4;3 of 4;1 of 1;Submission;1;2:51;3 Rnd (5-5-5);Yves Lavigne;September 09, 2017;Edmonton, Alberta, Canada;Women's Bantamweight Bout;Sarah Moras
Gavin Tucker;Rick Glenn;0;1;23 of 82;142 of 237;28%;59%;43 of 105;184 of 289;0 of 4;4 of 7;0%;57%;1;1;0;1;0;0;14 of 69;96 of 182;5 of 8;40 of 47;4 of 5;6 of 8;12 of 64;31 of 68;9 of 15;23 of 39;2 of 3;88 of 130;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kyle Cardinal;September 09, 2017;Edmonton, Alberta, Canada;Featherweight Bout;Rick Glenn
Mitch Clarke;Alex White;0;3;28 of 83;57 of 115;33%;49%;34 of 90;62 of 122;0 of 4;0 of 0;0%;0%;0;0;0;0;0;0;11 of 41;46 of 100;8 of 19;10 of 13;9 of 23;1 of 2;18 of 69;28 of 75;10 of 13;28 of 37;0 of 1;1 of 3;KO/TKO;2;4:36;3 Rnd (5-5-5);Jerin Valel;September 09, 2017;Edmonton, Alberta, Canada;Lightweight Bout;Alex White
Luis Henrique;Arjan Bhullar;0;1;32 of 114;24 of 50;28%;48%;54 of 137;60 of 96;0 of 0;1 of 1;0%;100%;0;0;0;1;0;0;18 of 95;23 of 48;9 of 14;1 of 2;5 of 5;0 of 0;26 of 101;14 of 34;6 of 13;5 of 8;0 of 0;5 of 8;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;September 09, 2017;Edmonton, Alberta, Canada;Heavyweight Bout;Arjan Bhullar
Kajan Johnson;Adriano Martins;1;0;26 of 63;16 of 31;41%;51%;26 of 63;16 of 31;0 of 0;0 of 0;0%;0%;0;1;0;0;0;0;7 of 29;8 of 21;12 of 21;0 of 0;7 of 13;8 of 10;24 of 61;16 of 31;0 of 0;0 of 0;2 of 2;0 of 0;KO/TKO;3;0:49;3 Rnd (5-5-5);John McCarthy;September 09, 2017;Edmonton, Alberta, Canada;Lightweight Bout;Kajan Johnson
Alexander Volkov;Stefan Struve;1;0;135 of 253;41 of 162;53%;25%;144 of 264;41 of 162;2 of 2;0 of 0;100%;0%;0;0;1;0;0;0;84 of 178;26 of 125;18 of 27;8 of 27;33 of 48;7 of 10;114 of 214;41 of 162;3 of 11;0 of 0;18 of 28;0 of 0;KO/TKO;3;3:30;5 Rnd (5-5-5-5-5);Marc Goddard;September 02, 2017;Rotterdam, Zuid-Holland, Netherlands;Heavyweight Bout;Alexander Volkov
Siyar Bahadurzada;Rob Wilkinson;3;0;43 of 81;24 of 46;53%;52%;44 of 82;34 of 58;0 of 0;2 of 5;0%;40%;1;0;0;0;0;0;36 of 74;11 of 30;7 of 7;4 of 6;0 of 0;9 of 10;18 of 43;22 of 43;14 of 16;2 of 3;11 of 22;0 of 0;KO/TKO;2;3:10;3 Rnd (5-5-5);Leon Roberts;September 02, 2017;Rotterdam, Zuid-Holland, Netherlands;Middleweight Bout;Siyar Bahadurzada
Marion Reneau;Talita Bernardo;0;0;57 of 127;22 of 88;44%;25%;118 of 192;38 of 112;0 of 0;3 of 7;0%;42%;5;1;2;2;1;0;47 of 116;11 of 75;9 of 10;4 of 5;1 of 1;7 of 8;24 of 68;18 of 83;10 of 11;1 of 1;23 of 48;3 of 4;KO/TKO;3;4:54;3 Rnd (5-5-5);Kevin Sataki;September 02, 2017;Rotterdam, Zuid-Holland, Netherlands;Women's Bantamweight Bout;Marion Reneau
Leon Edwards;Bryan Barberena;0;1;23 of 51;44 of 87;45%;50%;58 of 87;115 of 163;3 of 6;0 of 0;50%;0%;3;1;5;0;0;0;13 of 40;28 of 65;3 of 4;9 of 10;7 of 7;7 of 12;21 of 49;17 of 56;2 of 2;23 of 24;0 of 0;4 of 7;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Neil Hall;September 02, 2017;Rotterdam, Zuid-Holland, Netherlands;Welterweight Bout;Leon Edwards
Darren Till;Bojan Velickovic;0;0;49 of 87;34 of 144;56%;23%;50 of 88;69 of 181;1 of 1;0 of 3;100%;0%;0;0;0;0;0;0;42 of 79;16 of 109;1 of 1;2 of 7;6 of 7;16 of 28;32 of 67;32 of 141;1 of 1;0 of 1;16 of 19;2 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;September 02, 2017;Rotterdam, Zuid-Holland, Netherlands;Welterweight Bout;Darren Till
Mairbek Taisumov;Felipe Silva;1;0;2 of 4;0 of 7;50%;0%;2 of 4;0 of 7;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;1 of 2;0 of 6;0 of 1;0 of 1;1 of 1;0 of 0;2 of 4;0 of 7;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;1;1:24;3 Rnd (5-5-5);Leon Roberts;September 02, 2017;Rotterdam, Zuid-Holland, Netherlands;Lightweight Bout;Mairbek Taisumov
Michel Prazeres;Mads Burnell;0;0;26 of 48;10 of 30;54%;33%;43 of 69;12 of 32;4 of 6;0 of 0;66%;0%;1;0;15;0;0;0;21 of 38;4 of 21;5 of 10;5 of 8;0 of 0;1 of 1;11 of 31;8 of 27;4 of 5;2 of 3;11 of 12;0 of 0;Submission;3;1:26;3 Rnd (5-5-5);Kevin Sataki;September 02, 2017;Rotterdam, Zuid-Holland, Netherlands;Lightweight Bout;Michel Prazeres
Rustam Khabilov;Desmond Green;0;0;34 of 108;47 of 111;31%;42%;35 of 109;53 of 119;3 of 11;1 of 2;27%;50%;0;0;0;0;0;0;22 of 90;22 of 80;6 of 11;7 of 12;6 of 7;18 of 19;31 of 99;39 of 96;3 of 9;8 of 15;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Neil Hall;September 02, 2017;Rotterdam, Zuid-Holland, Netherlands;Lightweight Bout;Rustam Khabilov
Francimar Barroso;Aleksandar Rakic;0;0;24 of 55;46 of 150;43%;30%;36 of 69;75 of 179;2 of 14;0 of 0;14%;0%;0;0;1;0;0;0;14 of 39;22 of 114;0 of 4;10 of 16;10 of 12;14 of 20;22 of 53;44 of 144;0 of 0;2 of 6;2 of 2;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;September 02, 2017;Rotterdam, Zuid-Holland, Netherlands;Light Heavyweight Bout;Aleksandar Rakic
Mike Santiago;Zabit Magomedsharipov;0;0;24 of 67;45 of 65;35%;69%;32 of 77;70 of 97;2 of 7;1 of 3;28%;33%;0;2;0;2;0;2;6 of 40;34 of 52;7 of 14;8 of 10;11 of 13;3 of 3;10 of 46;25 of 41;14 of 21;8 of 11;0 of 0;12 of 13;Submission;2;4:22;3 Rnd (5-5-5);Leon Roberts;September 02, 2017;Rotterdam, Zuid-Holland, Netherlands;Featherweight Bout;Zabit Magomedsharipov
Bojan Mihajlovic;Abdul-Kerim Edilov;0;0;1 of 13;77 of 125;7%;61%;7 of 21;150 of 210;0 of 0;2 of 2;0%;100%;0;1;0;0;0;0;1 of 12;59 of 105;0 of 1;16 of 17;0 of 0;2 of 3;1 of 11;9 of 22;0 of 1;6 of 12;0 of 1;62 of 91;KO/TKO;2;2:32;3 Rnd (5-5-5);Kevin Sataki;September 02, 2017;Rotterdam, Zuid-Holland, Netherlands;Light Heavyweight Bout;Abdul-Kerim Edilov
